지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
전주,2022,2022-03-10,-14일,2022-04-05,-3일,2022-04-07,-3일,2022-04-05,2022-04-07 0:00,2022,2
전주,2023,2023-03-13,-11일,2023-03-29,-10일,2023-04-01,-9일,2023-03-29,2023-04-01 0:00,2023,3
전주,2024,2024-03-11,-13일,2024-04-02,-6일,2024-04-05,-5일,2024-04-02,2024-04-05 0:00,2024,3
서귀포,2015,2015-03-12,5일,2015-03-19,-1일,,,2015-03-19,2015-03-24 8:00,2015,
서귀포,2019,2019-03-08,1일,2019-03-20,0일,2019-03-25,,2019-03-20,2019-03-25 0:00,2019,5
서귀포,2020,2020-03-04,-3일,2020-03-13,-7일,2020-03-19,,2020-03-13,2020-03-19 0:00,2020,6
서귀포,2021,2021-03-02,-5일,2021-03-08,-12일,2021-03-12,,2021-03-08,2021-03-12 0:00,2021,4
서귀포,2022,2022-03-17,10일,2022-03-22,2일,2022-03-24,,2022-03-22,2022-03-24 0:00,2022,2
서귀포,2023,2023-03-10,3일,2023-03-15,-5일,2023-03-20,,2023-03-15,2023-03-20 0:00,2023,5
서귀포,2024,2024-03-15,8일,2024-03-19,-1일,2024-03-29,,2024-03-19,2024-03-29 0:00,2024,10
제주,2015,2015-03-06,-6일,2015-03-22,-3일,,,2015-03-22,2015-03-28 10:40,2015,
제주,2016,2016-03-06,-6일,2016-03-26,1일,2016-03-31,,2016-03-26,2016-03-31 0:00,2016,5
제주,2017,2017-03-11,-1일,2017-03-28,3일,2017-04-04,,2017-03-28,2017-04-04 0:00,2017,7
제주,2018,2018-03-11,-1일,2018-03-19,-6일,2018-03-26,,2018-03-19,2018-03-26 0:00,2018,7
제주,2019,2019-03-11,-1일,2019-03-20,-5일,2019-03-26,,2019-03-20,2019-03-26 0:00,2019,6
제주,2020,2020-03-13,1일,2020-03-18,-7일,2020-03-26,,2020-03-18,2020-03-26 0:00,2020,8
제주,2021,2021-03-04,-8일,2021-03-09,-16일,2021-03-13,,2021-03-09,2021-03-13 0:00,2021,4
제주,2022,2022-03-17,5일,2022-03-24,-1일,2022-03-29,,2022-03-24,2022-03-29 0:00,2022,5
제주,2023,2023-03-13,1일,2023-03-24,-1일,2023-03-29,,2023-03-24,2023-03-29 0:00,2023,5
제주,2024,2024-03-15,3일,2024-03-25,0일,2024-04-05,,2024-03-25,2024-04-05 0:00,2024,11
홍성,2018,2018-04-02,,2018-04-12,,2018-04-15,,2018-04-12,2018-04-15 0:00,2018,3
홍성,2019,2019-04-09,,2019-04-16,,2019-04-19,,2019-04-16,2019-04-19 0:00,2019,3
홍성,2020,2020-03-26,,2020-04-06,,2020-04-09,,2020-04-06,2020-04-09 0:00,2020,3
홍성,2021,2021-04-01,,2021-04-07,,2021-04-10,,2021-04-07,2021-04-10 0:00,2021,3
홍성,2022,2022-03-24,,2022-04-11,,2022-04-16,,2022-04-11,2022-04-16 0:00,2022,5
홍성,2023,2023-03-31,,2023-04-10,,2023-04-15,,2023-04-10,2023-04-15 0:00,2023,5
홍성,2024,2024-04-04,,2024-04-11,,2024-04-13,,2024-04-11,2024-04-13 0:00,2024,2
